Query No.,Number of Matched Pairs,Percent Overlap,Spearman Coefficient
Query 1,3,30,0.50
Query 2,5,50,0.10
Query 3,5,50,0.80
Query 4,3,30,-0.50
Query 5,1,10,0.00
Query 6,3,30,0.50
Query 7,3,30,0.50
Query 8,2,20,1.00
Query 9,2,20,1.00
Query 10,3,30,-0.50
Query 11,1,10,1.00
Query 12,4,40,0.20
Query 13,4,40,0.00
Query 14,3,30,-0.50
Query 15,1,10,0.00
Query 16,2,20,1.00
Query 17,4,40,0.00
Query 18,1,10,0.00
Query 19,1,10,0.00
Query 20,5,50,0.80
Query 21,1,10,1.00
Query 22,1,10,0.00
Query 23,3,30,-0.50
Query 24,3,30,0.50
Query 25,1,10,1.00
Query 26,1,10,0.00
Query 27,3,30,-1.00
Query 28,2,20,1.00
Query 29,1,10,0.00
Query 30,3,30,0.50
Query 31,1,10,0.00
Query 32,3,30,0.50
Query 33,5,50,0.80
Query 34,3,30,1.00
Query 35,3,30,1.00
Query 36,3,30,0.50
Query 37,1,10,1.00
Query 38,3,30,0.50
Query 39,1,10,0.00
Query 40,3,30,-0.50
Query 41,1,10,0.00
Query 42,2,20,-1.00
Query 43,3,30,0.50
Query 44,4,40,1.00
Query 45,3,30,0.50
Query 46,2,20,1.00
Query 47,2,20,1.00
Query 48,3,30,1.00
Query 49,1,10,1.00
Query 50,4,40,0.80
Query 51,1,10,0.00
Query 52,3,30,0.50
Query 53,1,10,0.00
Query 54,4,40,0.80
Query 55,4,40,0.00
Query 56,1,10,0.00
Query 57,1,10,0.00
Query 58,3,30,0.50
Query 59,2,20,1.00
Query 60,4,40,0.80
Query 61,1,10,0.00
Query 62,2,20,1.00
Query 63,4,40,0.40
Query 64,3,30,-0.50
Query 65,1,10,0.00
Query 66,1,10,0.00
Query 67,2,20,-1.00
Query 68,3,30,-0.50
Query 69,2,20,1.00
Query 70,6,60,0.49
Query 71,2,20,1.00
Query 72,4,40,1.00
Query 73,1,10,0.00
Query 74,3,30,1.00
Query 75,4,40,0.80
Query 76,4,40,0.40
Query 77,4,40,0.80
Query 78,1,10,0.00
Query 79,5,50,0.50
Query 80,1,10,0.00
Query 81,2,20,-1.00
Query 82,3,30,0.50
Query 83,5,50,0.10
Averages,2.58,25.78,0.34